Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6
1737473052.868125,145.5078125,276.3671875,60.546875,74.70703125,141.6015625,5856.9424946
1737473052.8720312,79.1015625,90.33203125,25.390625,16.6015625,115.72265625,5856.94640085
1737473052.8759375,-71.77734375,-187.98828125,-26.3671875,-41.9921875,-11.71875,5856.9503071
1737473052.8798437,-88.8671875,-205.078125,-34.1796875,-31.73828125,-69.3359375,5856.95421335
1737473052.88375,54.19921875,122.0703125,36.1328125,53.7109375,7.32421875,5856.9581196
1737473052.8876562,157.2265625,280.2734375,74.21875,119.62890625,150.390625,5856.96202585
1737473052.8915625,103.02734375,85.44921875,29.296875,81.0546875,125.48828125,5856.9659321
1737473052.8954687,-61.03515625,-232.421875,-41.015625,-19.04296875,-19.53125,5856.96983835
1737473052.899375,-122.0703125,-254.8828125,-58.59375,-58.59375,-58.59375,5856.9737446
1737473052.9032812,39.0625,130.859375,22.94921875,27.83203125,17.08984375,5856.97765085
1737473052.9071875,186.03515625,314.453125,74.70703125,117.1875,122.0703125,5856.9815571
1737473052.9110937,142.578125,145.01953125,40.52734375,83.0078125,125.0,5856.98546335
1737473052.913125,-39.0625,-174.31640625,-20.99609375,-7.8125,-4.39453125,5856.9874493
1737473052.9170313,-131.8359375,-207.03125,-28.3203125,-34.66796875,-74.21875,5856.99135555
1737473052.9209375,-4.8828125,71.77734375,18.06640625,20.01953125,-34.1796875,5856.9952618
1737473052.9248438,172.8515625,296.38671875,60.546875,117.67578125,118.1640625,5856.99916805
1737473052.92875,176.7578125,201.171875,46.875,114.74609375,164.0625,5857.0030743
1737473052.9326563,-26.85546875,-162.109375,-12.6953125,3.41796875,14.6484375,5857.00698055
1737473052.9365625,-172.8515625,-276.85546875,-33.69140625,-34.66796875,-88.8671875,5857.0108868
1737473052.9404688,-56.640625,-72.265625,-4.8828125,22.94921875,-106.4453125,5857.01479305
1737473052.944375,145.99609375,231.4453125,56.640625,102.05078125,53.22265625,5857.0186993
1737473052.9482813,170.8984375,270.01953125,68.359375,105.95703125,181.15234375,5857.02260555
1737473052.9521875,4.39453125,-126.46484375,-14.16015625,4.39453125,50.29296875,5857.0265118
1737473052.9560938,-115.72265625,-277.83203125,-45.8984375,-58.59375,-37.59765625,5857.03041805
1737473052.960125,-25.390625,-37.59765625,1.953125,4.8828125,-38.0859375,5857.0338867
1737473052.9640312,148.4375,270.5078125,60.546875,113.28125,99.609375,5857.03779295
1737473052.9679375,204.1015625,244.62890625,64.453125,133.30078125,201.171875,5857.0416992
1737473052.9718437,53.7109375,-119.62890625,2.9296875,49.8046875,69.3359375,5857.04560545
1737473052.97575,-92.7734375,-268.5546875,-30.76171875,-15.13671875,-56.15234375,5857.0495117
1737473052.9796562,-51.7578125,-102.05078125,-3.90625,21.484375,-74.21875,5857.05341795
1737473052.9835625,130.859375,169.43359375,50.29296875,109.86328125,57.6171875,5857.0573242
1737473052.9874687,190.4296875,225.09765625,64.94140625,111.328125,172.36328125,5857.06123045
1737473052.991375,61.5234375,-1.46484375,22.94921875,62.01171875,96.19140625,5857.0651367
1737473052.9952812,-83.49609375,-253.90625,-21.484375,-2.9296875,-71.77734375,5857.06904295
1737473052.9991875,-87.40234375,-142.578125,-1.46484375,-12.20703125,-93.75,5857.0729492
1737473053.0030937,96.6796875,207.03125,63.4765625,97.65625,66.89453125,5857.07685545
1737473053.018125,189.453125,313.4765625,85.9375,129.39453125,218.75,5857.0927972
1737473053.0220313,58.59375,-9.765625,27.83203125,52.734375,120.60546875,5857.09670345
1737473053.0259376,-90.33203125,-287.109375,-23.4375,-6.8359375,-64.453125,5857.1006097
1737473053.0298438,-65.91796875,-166.015625,-5.37109375,5.859375,-77.1484375,5857.10451595
1737473053.03375,100.09765625,180.17578125,58.10546875,108.88671875,31.25,5857.1084222
1737473053.0376563,200.1953125,293.9453125,85.9375,146.97265625,190.91796875,5857.11232845
1737473053.0415626,104.4921875,-46.875,21.484375,54.6875,98.14453125,5857.1162347
1737473053.0454688,-85.44921875,-307.6171875,-30.76171875,-40.0390625,-49.31640625,5857.12014095
1737473053.049375,-107.421875,-148.92578125,-3.41796875,-41.015625,-84.9609375,5857.1240472
1737473053.0532813,68.84765625,170.41015625,55.17578125,70.80078125,-9.27734375,5857.12795345
1737473053.0571876,178.22265625,304.19921875,88.37890625,152.83203125,171.875,5857.1318597
1737473053.0610938,98.14453125,98.14453125,55.17578125,89.35546875,146.97265625,5857.13576595
1737473053.049125,-67.87109375,-204.1015625,-5.37109375,-34.1796875,-8.7890625,5857.122937
1737473053.0530312,-114.74609375,-254.39453125,-21.97265625,-35.64453125,-101.5625,5857.12684325
1737473053.0569375,41.9921875,76.66015625,49.31640625,53.22265625,-31.25,5857.1307495
1737473053.0608437,204.58984375,346.19140625,113.76953125,109.86328125,167.48046875,5857.13465575
1737473053.06475,183.10546875,163.0859375,77.1484375,75.68359375,196.77734375,5857.138562
1737473053.0686562,-25.390625,-250.9765625,-15.13671875,-41.015625,9.765625,5857.14246825
1737473053.0725625,-145.01953125,-316.89453125,-30.76171875,-80.078125,-93.75,5857.1463745
1737473053.0764687,2.44140625,55.17578125,41.9921875,23.92578125,-34.66796875,5857.15028075
1737473053.080375,154.296875,344.23828125,105.95703125,114.2578125,162.59765625,5857.154187
1737473053.0842812,133.7890625,144.04296875,67.87109375,95.21484375,201.171875,5857.15809325
1737473053.0881875,-7.8125,-265.625,-22.4609375,-9.27734375,21.97265625,5857.1619995
